technology,technology_name,category,survey_year,respondent_count,worked_with_count,want_to_work_with_count,admired_count,developer_usage_share,developer_interest_share,developer_admiration_share,source_type
Dart,Dart,Language,2024,65437,3594,3709,1978,0.05492305576355884,0.05668047129299937,0.030227547106377126,official_stackoverflow_developer_survey
Databricks,Databricks,Platform,2024,65437,918,1152,504,0.014028760487186149,0.0176047190427434,0.007702064581200239,official_stackoverflow_developer_survey
Databricks SQL,Databricks SQL,Database,2024,65437,1003,1218,493,0.015327719791555236,0.018613322737900576,0.00753396396534071,official_stackoverflow_developer_survey
Datomic,Datomic,Database,2023,89184,244,605,0,0.0027359167563688553,0.00678372802296376,0.0,official_stackoverflow_developer_survey
Datomic,Datomic,Database,2024,65437,184,404,130,0.002811864847104849,0.006173877164295429,0.001986643641976252,official_stackoverflow_developer_survey
Delphi,Delphi,Language,2021,83439,1731,975,0,0.020745694459425448,0.011685183187717973,0.0,official_stackoverflow_developer_survey
Delphi,Delphi,Language,2022,73268,2311,1663,0,0.03154173718403669,0.02269749413113501,0.0,official_stackoverflow_developer_survey
Delphi,Delphi,Language,2023,89184,2831,1948,0,0.031743362038033726,0.02184248295658414,0.0,official_stackoverflow_developer_survey
Delphi,Delphi,Language,2024,65437,1073,594,450,0.016397450983388604,0.009077433256414566,0.006876843376071641,official_stackoverflow_developer_survey
Deno,Deno,Tool,2021,83439,1027,4773,0,0.012308392957729598,0.05720346600510553,0.0,official_stackoverflow_developer_survey
Deno,Deno,Web Framework,2022,73268,925,3717,0,0.012624883987552547,0.050731560845116555,0.0,official_stackoverflow_developer_survey
Deno,Deno,Web Framework,2023,89184,1697,4836,0,0.019028076785073556,0.05422497308934338,0.0,official_stackoverflow_developer_survey
Deno,Deno,Web Framework,2024,65437,943,1951,533,0.014410807341412351,0.02981493650381283,0.008145238932102634,official_stackoverflow_developer_survey
Digital Ocean,Digital Ocean,Platform,2023,89184,9299,7133,0,0.10426758162899175,0.07998071402942232,0.0,official_stackoverflow_developer_survey
Digital Ocean,Digital Ocean,Platform,2024,65437,5409,4507,3060,0.08265965738038113,0.06887540687989975,0.04676253495728716,official_stackoverflow_developer_survey
DigitalOcean,DigitalOcean,Platform,2021,83439,9495,8674,0,0.11379570704346888,0.10395618355924688,0.0,official_stackoverflow_developer_survey
DigitalOcean,DigitalOcean,Platform,2022,73268,7953,6983,0,0.10854670524649233,0.09530763771359939,0.0,official_stackoverflow_developer_survey
DirectX,DirectX,Other Framework/Library,2024,65437,879,1044,422,0.013432767394593273,0.01595427663248621,0.006448950899338295,official_stackoverflow_developer_survey
Django,Django,Web Framework,2021,83439,9446,9112,0,0.11320845168326561,0.10920552739126788,0.0,official_stackoverflow_developer_survey
Django,Django,Web Framework,2022,73268,8002,7200,0,0.10921548288475187,0.09826936725446307,0.0,official_stackoverflow_developer_survey
Django,Django,Web Framework,2023,89184,8238,6945,0,0.0923708288482239,0.0778727125941873,0.0,official_stackoverflow_developer_survey
Django,Django,Web Framework,2024,65437,5835,4973,2960,0.08916973577639561,0.07599676024267617,0.04523434754038235,official_stackoverflow_developer_survey
Docker,Docker,Tool,2021,83439,35644,37870,0,0.4271863277364302,0.45386449981423554,0.0,official_stackoverflow_developer_survey
Docker,Docker,Tool,2022,73268,34981,32642,0,0.47743899110116284,0.44551509526669214,0.0,official_stackoverflow_developer_survey
Docker,Docker,Tool,2023,89184,41369,36741,0,0.4638612307140294,0.4119685145317546,0.0,official_stackoverflow_developer_survey
Docker,Docker,Tool,2024,65437,29219,26262,22644,0.4465210813454162,0.40133257942754097,0.346042758683925,official_stackoverflow_developer_survey
Drupal,Drupal,Web Framework,2021,83439,1508,653,0,0.018073083330337133,0.007826076534953678,0.0,official_stackoverflow_developer_survey
Drupal,Drupal,Web Framework,2022,73268,1211,600,0,0.016528361631271495,0.008189113937871922,0.0,official_stackoverflow_developer_survey
Drupal,Drupal,Web Framework,2023,89184,1343,530,0,0.01505875493362038,0.005942770003588087,0.0,official_stackoverflow_developer_survey
Drupal,Drupal,Web Framework,2024,65437,920,418,262,0.014059324235524244,0.006387823402662102,0.0040038510322906,official_stackoverflow_developer_survey
DuckDB,DuckDB,Database,2023,89184,469,1065,0,0.005258790814495874,0.011941603875134554,0.0,official_stackoverflow_developer_survey
DuckDB,DuckDB,Database,2024,65437,710,1468,491,0.010850130660024146,0.0224337912801626,0.007503400217002613,official_stackoverflow_developer_survey
DynamoDB,DynamoDB,Database,2021,83439,5137,6039,0,0.0615659343951869,0.0723762269442347,0.0,official_stackoverflow_developer_survey
DynamoDB,DynamoDB,Database,2022,73268,5029,5309,0,0.0686384233225965,0.07246000982693672,0.0,official_stackoverflow_developer_survey
Dynamodb,Dynamodb,Database,2023,89184,6798,5573,0,0.07622443487621099,0.06248878722640833,0.0,official_stackoverflow_developer_survey
